2025-04-03 04:17:47.225986: Starting overnight training with the following parameters:
2025-04-03 04:17:47.225986: Total timesteps: 2000000
2025-04-03 04:17:47.226987: Learning rate: 0.0003
2025-04-03 04:17:47.226987: Batch size: 512
2025-04-03 04:17:47.227987: Buffer size: 200000
2025-04-03 04:17:47.227987: Exploration noise: 0.3
2025-04-03 04:17:47.228988: Models directory: ./ddpg_models/20250403_041747/
2025-04-03 04:17:47.228988: Log directory: ./ddpg_pyrace_tensorboard/20250403_041747/
2025-04-03 04:17:47.228988: Visualization enabled: True
2025-04-03 04:17:47.272002: Set view=True on RaceEnv
2025-04-03 04:17:48.148299: Loading checkpoint ./ddpg_models/ddpg_pyrace_v3_final.zip to continue training
2025-04-03 04:17:48.166305: 
Starting overnight training...
2025-04-03 04:17:48.166305: Visualization enabled. Press 'm' to toggle visualization mode, 'q' to quit.
2025-04-03 04:17:48.218323: Could not find PyRace2D object directly
2025-04-03 06:38:10.876573: Steps: 182000/2000000, FPS: 21.6, Time remaining: 23h 22m 23s
2025-04-03 06:38:57.734904: Steps: 183000/2000000, FPS: 21.6, Time remaining: 23h 21m 42s
2025-04-03 06:39:44.420076: Steps: 184000/2000000, FPS: 21.6, Time remaining: 23h 21m 0s
2025-04-03 06:40:31.110760: Steps: 185000/2000000, FPS: 21.6, Time remaining: 23h 20m 18s
2025-04-03 06:41:17.924489: Steps: 186000/2000000, FPS: 21.6, Time remaining: 23h 19m 37s
2025-04-03 06:42:04.767804: Steps: 187000/2000000, FPS: 21.6, Time remaining: 23h 18m 56s
2025-04-03 06:42:51.730071: Steps: 188000/2000000, FPS: 21.6, Time remaining: 23h 18m 16s
2025-04-03 06:43:38.487785: Steps: 189000/2000000, FPS: 21.6, Time remaining: 23h 17m 34s
2025-04-03 06:44:25.443555: Steps: 190000/2000000, FPS: 21.6, Time remaining: 23h 16m 54s
2025-04-03 06:45:12.467846: Steps: 191000/2000000, FPS: 21.6, Time remaining: 23h 16m 14s
2025-04-03 06:45:59.274145: Steps: 192000/2000000, FPS: 21.6, Time remaining: 23h 15m 33s
2025-04-03 06:46:46.108359: Steps: 193000/2000000, FPS: 21.6, Time remaining: 23h 14m 51s
